2026-03-25T10:00:01Z | 10.0.0.8 | GET | / | 200 | 512 | 0.045
2026-03-25T10:00:01Z | 10.0.0.8 | GET | / | 200 | 512 | 0.045
2026-03-25T10:00:01Z | 10.0.0.8 | GET | / | 200 | 512 | 0.045
2026-03-25T10:00:05Z | 10.0.0.21 | GET | /login | 401 | 256 | 0.032
2026-03-25T10:00:05Z | 10.0.0.21 | GET | /login | 401 | 256 | 0.032
2026-03-25T10:00:05Z | 10.0.0.21 | GET | /login | 401 | 256 | 0.032
2026-03-25T10:00:05Z | 10.0.0.21 | GET | /login | 401 | 256 | 0.032
2026-03-25T10:00:05Z | 10.0.0.21 | GET | /login | 401 | 256 | 0.032
2026-03-25T10:00:10Z | 10.0.0.21 | POST | /login | 401 | 256 | 0.051
2026-03-25T10:00:10Z | 10.0.0.21 | POST | /login | 401 | 256 | 0.051
2026-03-25T10:00:10Z | 10.0.0.21 | POST | /login | 401 | 256 | 0.051
2026-03-25T10:00:10Z | 10.0.0.21 | POST | /login | 401 | 256 | 0.051
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:20Z | 10.0.0.33 | GET | /api/orders | 200 | 2048 | 1.205
2026-03-25T10:00:30Z | 10.0.0.33 | GET | /api/orders | 504 | 512 | 2.801
2026-03-25T10:00:30Z | 10.0.0.33 | GET | /api/orders | 504 | 512 | 2.801
2026-03-25T10:00:30Z | 10.0.0.33 | GET | /api/orders | 504 | 512 | 2.801
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:40Z | 10.0.0.44 | GET | /assets/app.js | 200 | 8192 | 0.010
2026-03-25T10:00:50Z | 10.0.0.55 | POST | /api/upload | 413 | 128 | 0.220
2026-03-25T10:00:50Z | 10.0.0.55 | POST | /api/upload | 413 | 128 | 0.220
2026-03-25T10:00:50Z | 10.0.0.55 | POST | /api/upload | 413 | 128 | 0.220
2026-03-25T10:01:00Z | 10.0.0.55 | POST | /api/upload | 201 | 1024 | 1.700
2026-03-25T10:01:00Z | 10.0.0.55 | POST | /api/upload | 201 | 1024 | 1.700
2026-03-25T10:01:10Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.015
2026-03-25T10:01:10Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.015
2026-03-25T10:01:10Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.015
2026-03-25T10:01:10Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.015
2026-03-25T10:01:20Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.014
2026-03-25T10:01:20Z | 10.0.0.89 | GET | /admin | 403 | 300 | 0.014
2026-03-25T10:01:30Z | 10.0.0.8 | GET | /healthz | 200 | 64 | 0.003
2026-03-25T10:01:30Z | 10.0.0.8 | GET | /healthz | 200 | 64 | 0.003
2026-03-25T10:01:30Z | 10.0.0.8 | GET | /healthz | 200 | 64 | 0.003
2026-03-25T10:01:30Z | 10.0.0.8 | GET | /healthz | 200 | 64 | 0.003
2026-03-25T10:01:30Z | 10.0.0.8 | GET | /healthz | 200 | 64 | 0.003
2026-03-25T10:01:40Z | 10.0.0.144 | GET | /reports/daily | 200 | 4096 | 1.450
2026-03-25T10:01:40Z | 10.0.0.144 | GET | /reports/daily | 200 | 4096 | 1.450
2026-03-25T10:01:40Z | 10.0.0.144 | GET | /reports/daily | 200 | 4096 | 1.450
2026-03-25T10:01:40Z | 10.0.0.144 | GET | /reports/daily | 200 | 4096 | 1.450
2026-03-25T10:01:50Z | 10.0.0.144 | GET | /reports/daily | 502 | 256 | 2.220
2026-03-25T10:01:50Z | 10.0.0.144 | GET | /reports/daily | 502 | 256 | 2.220
2026-03-25T10:01:50Z | 10.0.0.144 | GET | /reports/daily | 502 | 256 | 2.220
2026-03-25T10:02:00Z | 10.0.0.21 | GET | /favicon.ico | 404 | 150 | 0.005
2026-03-25T10:02:00Z | 10.0.0.21 | GET | /favicon.ico | 404 | 150 | 0.005
2026-03-25T10:02:10Z | 10.0.0.200 | GET | /metrics | 200 | 700 | 0.090
2026-03-25T10:02:10Z | 10.0.0.200 | GET | /metrics | 200 | 700 | 0.090
2026-03-25T10:02:10Z | 10.0.0.200 | GET | /metrics | 200 | 700 | 0.090
2026-03-25T10:02:20Z | 10.0.0.200 | GET | /metrics | 499 | 0 | 0.001
2026-03-25T10:02:30Z | 10.0.0.77 | GET | /api/users | 500 | 256 | 1.980
2026-03-25T10:02:31Z | 10.0.0.77 | GET | /api/users | 500 | 256 | 2.110
